Bias20,BiasVal20,BiasVal15,BiasVal10,BiasVal05
Anti-Jewish,1234,1211,1135,1039
Anti-Black or African American,475,523,614,607
Anti-Gay (Male),279,432,376,246
Anti-White,124,86,117,147
Anti-Islamic (Muslim),108,129,77,27
Anti-Other Race/Ethnicity/Ancestry,80,92,130,322
Anti-Transgender,71,4,0,0
Anti-Asian,66,44,30,36
Anti-Hispanic or Latino,62,91,151,127
Anti-Catholic,48,91,46,36
Anti-Lesbian (Female),41,71,63,61
Anti-Arab,31,1,0,0
"Anti-Lesbian, Gay, Bisexual, or Transgender (Mixed Group)",30,32,48,22
"Anti-Multiple Races, Group",24,20,20,18
Anti-Other Religion,16,29,62,184
"Anti-Multiple Religions, Group",12,26,20,7
Anti-Other Christian,11,3,0,0
Anti-Gender Non-Conforming,11,12,0,0
Anti-Female,8,6,0,0
Anti-Hindu,5,0,0,0
Anti-Physical Disability,4,4,3,0
Anti-Buddhist,2,0,0,0
Anti-Jehovahs Witness,2,0,0,0
Anti-Mormon,1,0,0,0
Anti-Male,1,1,0,0
Anti-Protestant,1,7,10,7
Multiple Bias,0,0,1,0
